row,compound_id,kpuu,true_label,heuristic_class,eps,mlasp,cost,uses_kpuu,freq,seed,n_iter
1,SYN-0001,0.3783,0,non_promising,0.0,"[""kpuu""; ""1uM_PgP""]",4400.0,true,6,1001,2000
1,SYN-0001,0.3783,0,non_promising,0.1,"[""kpuu""]",4000.0,true,4,1001,2000
1,SYN-0001,0.3783,0,non_promising,0.2,"[""kpuu""]",4000.0,true,3,1001,2000
1,SYN-0001,0.3783,0,non_promising,0.3,"[""kpuu""]",4000.0,true,5,1001,2000
1,SYN-0001,0.3783,0,non_promising,0.4,"[""kpuu""]",4000.0,true,4,1001,2000
1,SYN-0001,0.3783,0,non_promising,0.5,"[""kpuu""]",4000.0,true,2,1001,2000
1,SYN-0001,0.3783,0,non_promising,0.6,"[""kpuu""]",4000.0,true,2,1001,2000
1,SYN-0001,0.3783,0,non_promising,0.7,"[""kpuu""]",4000.0,true,1,1001,2000
1,SYN-0001,0.3783,0,non_promising,0.8,"[""kpuu""]",4000.0,true,3,1001,2000
1,SYN-0001,0.3783,0,non_promising,1.0,"[""kpuu""]",4000.0,true,1,1001,2000
2,SYN-0002,0.5328,1,borderline,0.0,"[""100nM_PgP""; ""kpuu""; ""100nM_BCRP""]",4800.0,true,3,1002,2000
2,SYN-0002,0.5328,1,borderline,0.1,"[""100nM_PgP""; ""1uM_PgP""; ""100nM_BCRP""]",1200.0,false,4,1002,2000
2,SYN-0002,0.5328,1,borderline,0.2,"[""100nM_PgP""; ""1uM_PgP""; ""100nM_BCRP""]",1200.0,false,2,1002,2000
2,SYN-0002,0.5328,1,borderline,0.3,"[""100nM_PgP""; ""1uM_PgP""; ""100nM_BCRP""]",1200.0,false,1,1002,2000
2,SYN-0002,0.5328,1,borderline,0.4,"[""100nM_PgP""; ""1uM_PgP""; ""100nM_BCRP""]",1200.0,false,2,1002,2000
2,SYN-0002,0.5328,1,borderline,0.5,"[""100nM_PgP""; ""1uM_PgP""]",800.0,false,3,1002,2000
2,SYN-0002,0.5328,1,borderline,0.6,"[""100nM_PgP""; ""1uM_PgP""]",800.0,false,2,1002,2000
2,SYN-0002,0.5328,1,borderline,0.7,"[""100nM_PgP""; ""100nM_BCRP""]",800.0,false,1,1002,2000
2,SYN-0002,0.5328,1,borderline,0.8,"[""100nM_PgP""; ""1uM_PgP""]",800.0,false,3,1002,2000
2,SYN-0002,0.5328,1,borderline,0.9,"[""100nM_PgP""; ""1uM_PgP""]",800.0,false,1,1002,2000
2,SYN-0002,0.5328,1,borderline,1.0,"[""100nM_PgP""; ""1uM_PgP""]",800.0,false,2,1002,2000
3,SYN-0003,0.0302,0,non_promising,0.0,"[""100nM_PgP""; ""kpuu""]",4400.0,true,3,1003,2000
3,SYN-0003,0.0302,0,non_promising,0.1,"[""100nM_BCRP""]",400.0,false,5,1003,2000
3,SYN-0003,0.0302,0,non_promising,0.2,"[""100nM_PgP""]",400.0,false,3,1003,2000
3,SYN-0003,0.0302,0,non_promising,0.3,"[""100nM_BCRP""]",400.0,false,4,1003,2000
3,SYN-0003,0.0302,0,non_promising,0.6,"[""100nM_PgP""]",400.0,false,2,1003,2000
3,SYN-0003,0.0302,0,non_promising,0.7,"[""100nM_PgP""]",400.0,false,1,1003,2000
3,SYN-0003,0.0302,0,non_promising,0.8,"[""100nM_PgP""]",400.0,false,1,1003,2000
3,SYN-0003,0.0302,0,non_promising,1.0,"[""100nM_PgP""]",400.0,false,2,1003,2000
4,SYN-0004,0.2724,0,promising,0.0,"[""kpuu""]",4000.0,true,8,1004,2000
4,SYN-0004,0.2724,0,promising,0.1,"[""kpuu""]",4000.0,true,8,1004,2000
4,SYN-0004,0.2724,0,promising,0.2,"[""kpuu""]",4000.0,true,5,1004,2000
4,SYN-0004,0.2724,0,promising,0.3,"[""100nM_PgP""]",400.0,false,3,1004,2000
4,SYN-0004,0.2724,0,promising,0.4,"[""100nM_PgP""; ""1uM_PgP""; ""100nM_BCRP""]",1200.0,false,4,1004,2000
4,SYN-0004,0.2724,0,promising,0.5,"[""100nM_PgP""; ""100nM_BCRP""]",800.0,false,3,1004,2000
4,SYN-0004,0.2724,0,promising,0.6,"[""100nM_PgP""; ""1uM_PgP""]",800.0,false,2,1004,2000
4,SYN-0004,0.2724,0,promising,0.7,"[""100nM_PgP""; ""100nM_BCRP""]",800.0,false,2,1004,2000
4,SYN-0004,0.2724,0,promising,0.8,"[""100nM_PgP""; ""100nM_BCRP""]",800.0,false,2,1004,2000
4,SYN-0004,0.2724,0,promising,0.9,"[""100nM_PgP""; ""100nM_BCRP""]",800.0,false,1,1004,2000
